YEAR,VALUE,WHAT
1997,12.242337,Pink
1998,3.921058,Pink
1999,9.536518,Pink
2000,7.220603,Pink
2001,10.97163,Pink
2002,8.609264,Pink
2003,15.455846,Pink
2004,3.578293,Pink
2005,12.638189,Pink
2006,1.431279,Pink
2007,11.203484,Pink
2008,0.353489,Pink
2009,13.439757,Pink
2010,1.272725,Pink
2011,9.117062,Pink
2012,1.231248,Pink
1910,0,Chum
1911,0,Chum
1912,0,Chum
1913,0,Chum
1914,0,Chum
1915,0,Chum
1916,0,Chum
1917,0,Chum
1918,0,Chum
1919,0,Chum
1920,0,Chum
1921,0,Chum
1922,0,Chum
1923,0,Chum
1924,0,Chum
1925,0,Chum
1926,0,Chum
1927,0,Chum
1928,0,Chum
1929,0,Chum
1930,0,Chum
1931,0,Chum
1932,0,Chum
1933,0,Chum
1934,0,Chum
1935,0,Chum
1936,0,Chum
1937,0,Chum
1938,0,Chum
1939,0,Chum
1940,0,Chum
1941,0,Chum
1942,0,Chum
1943,0,Chum
1944,0,Chum
1945,0,Chum
1946,0,Chum
1947,0,Chum
1948,0,Chum
1949,0,Chum
1950,0,Chum
1951,28.7993,Chum
1952,14.4561,Chum
1953,24.687,Chum
1954,33.7476,Chum
1955,8.24639,Chum
1956,12.4422,Chum
1957,12.3551,Chum
1958,17.2866,Chum
1959,10.4826,Chum
1960,9.21709,Chum
1961,6.62705,Chum
1962,8.18924,Chum
1963,6.99673,Chum
1964,10.8555,Chum
1965,3.01914,Chum
1966,6.96816,Chum
1967,5.50758,Chum
1968,16.5608,Chum
1969,6.077,Chum
1970,16.77,Chum
1971,5.419,Chum
1972,30.192,Chum
1973,32.762,Chum
1974,12.479,Chum
1975,5.389,Chum
1976,10.922,Chum
1977,6.032,Chum
1978,15.855,Chum
1979,4.751,Chum
1980,16.809,Chum
1981,6.157,Chum
1982,15.091,Chum
1983,4.899,Chum
1984,9.003,Chum
1985,23.646,Chum
1986,25.197,Chum
1987,11,Chum
1988,30.297,Chum
1989,9.322,Chum
1990,17.181,Chum
1991,10.236,Chum
1992,17.964,Chum
1993,17.274,Chum
1994,20.323,Chum
1995,12.115,Chum
1996,6.560264,Chum
1997,8.686141,Chum
1998,19.912954,Chum
1999,4.996532,Chum
2000,2.848225,Chum
2001,5.8499,Chum
2002,12.350826,Chum
2003,13.730787,Chum
2004,14.301897,Chum
2005,11.323051,Chum
2006,9.90462,Chum
2007,4.864421,Chum
2008,1.735465,Chum
2009,2.706924,Chum
2010,0.541728,Chum
2011,5.805227,Chum
2012,4.050286,Chum
1910,0,Sockeye
1911,0,Sockeye
1912,0,Sockeye
1913,0,Sockeye
1914,0,Sockeye
1915,0,Sockeye
1916,0,Sockeye
1917,0,Sockeye
1918,0,Sockeye
1919,0,Sockeye
1920,0,Sockeye
1921,0,Sockeye
1922,0,Sockeye
1923,0,Sockeye
1924,0,Sockeye
1925,0,Sockeye
1926,0,Sockeye
1927,0,Sockeye
1928,0,Sockeye
1929,0,Sockeye
1930,0,Sockeye
1931,0,Sockeye
1932,0,Sockeye
1933,0,Sockeye
1934,0,Sockeye
1935,0,Sockeye
1936,0,Sockeye
1937,0,Sockeye
1938,0,Sockeye
1939,0,Sockeye
1940,0,Sockeye
1941,0,Sockeye
1942,0,Sockeye
1943,0,Sockeye
1944,0,Sockeye
1945,0,Sockeye
1946,0,Sockeye
1947,0,Sockeye
1948,0,Sockeye
1949,0,Sockeye
1950,0,Sockeye
1951,13.5172,Sockeye
1952,14.0025,Sockeye
1953,16.0288,Sockeye
1954,21.3281,Sockeye
1955,7.55239,Sockeye
1956,9.75098,Sockeye
1957,7.13508,Sockeye
1958,33.6206,Sockeye
1959,8.19196,Sockeye
1960,7.02168,Sockeye
1961,12.0748,Sockeye
1962,9.11957,Sockeye
1963,5.38556,Sockeye
1964,10.4105,Sockeye
1965,7.3578,Sockeye
1966,11.6597,Sockeye
1967,16.8157,Sockeye
1968,18.7744,Sockeye
1969,10.949,Sockeye
1970,11.424,Sockeye
1971,17.329,Sockeye
1972,9.517,Sockeye
1973,21.526,Sockeye
1974,21.694,Sockeye
1975,5.681,Sockeye
1976,12.339,Sockeye
1977,17.388,Sockeye
1978,22.321,Sockeye
1979,14.532,Sockeye
1980,7.727,Sockeye
1981,21,Sockeye
1982,30.143,Sockeye
1983,14.326,Sockeye
1984,12.877,Sockeye
1985,31.568,Sockeye
1986,30.833,Sockeye
1987,15.035,Sockeye
1988,11.943,Sockeye
1989,34.383,Sockeye
1990,37.134,Sockeye
1991,25.211,Sockeye
1992,20.938,Sockeye
1993,42.529,Sockeye
1994,30.828,Sockeye
1995,10.533,Sockeye
1996,15.653676,Sockeye
1997,25.358079,Sockeye
1998,5.169957,Sockeye
1999,1.813403,Sockeye
2000,8.871133,Sockeye
2001,7.187239,Sockeye
2002,10.146964,Sockeye
2003,6.356763,Sockeye
2004,4.461143,Sockeye
2005,0.996036,Sockeye
2006,10.342896,Sockeye
2007,1.924259,Sockeye
2008,1.95889,Sockeye
2009,0.661584,Sockeye
2010,19.997292,Sockeye
2011,3.092591,Sockeye
2012,2.07365,Sockeye
1910,42.539,Total
1911,50.062,Total
1912,55.386,Total
1913,68.463,Total
1914,62.13,Total
1915,62.114,Total
1916,72.644,Total
1917,54.269,Total
1918,67.744,Total
1919,75.675,Total
1920,57.282,Total
1921,38.194,Total
1922,68.451,Total
1923,68.708,Total
1924,89.138,Total
1925,84.975,Total
1926,96.414,Total
1927,67.603,Total
1928,102.397,Total
1929,68.676,Total
1930,104.154,Total
1931,58.379,Total
1932,58.581,Total
1933,63.979,Total
1934,75.292,Total
1935,81.167,Total
1936,90.514,Total
1937,76.736,Total
1938,78.683,Total
1939,66.967,Total
1940,64.95,Total
1941,86.198,Total
1942,73.572,Total
1943,55.076,Total
1944,48.794,Total
1945,77.548,Total
1946,67.892,Total
1947,73.845,Total
1948,65.847,Total
1949,66.845,Total
1950,83.778,Total
1951,0,Total
1952,0,Total
1953,0,Total
1954,0,Total
1955,0,Total
1956,0,Total
1957,0,Total
1958,0,Total
1959,0,Total
1960,0,Total
1961,0,Total
1962,0,Total
1963,0,Total
1964,0,Total
1965,0,Total
1966,0,Total
1967,0,Total
1968,0,Total
1969,0,Total
1970,0,Total
1971,0,Total
1972,0,Total
1973,0,Total
1974,0,Total
1975,0,Total
1976,0,Total
1977,0,Total
1978,0,Total
1979,0,Total
1980,0,Total
1981,0,Total
1982,0,Total
1983,0,Total
1984,0,Total
1985,0,Total
1986,0,Total
1987,0,Total
1988,0,Total
1989,0,Total
1990,0,Total
1991,0,Total
1992,0,Total
1993,0,Total
1994,0,Total
1995,0,Total
1996,0,Total
1997,0,Total
1998,0,Total
1999,0,Total
2000,0,Total
2001,0,Total
2002,0,Total
2003,0,Total
2004,0,Total
2005,0,Total
2006,0,Total
2007,0,Total
2008,0,Total
2009,0,Total
2010,0,Total
2011,0,Total
2012,0,Total
